#
#
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.104119;1251790.408400;-4733524.441900;-2.424841;-0.009741;-0.000200;0.000000
0.215824;1251790.329900;-4733524.510300;-2.536954;-29.257693;1.199100;-0.018553
0.325282;1251790.238000;-4733524.573800;-2.391732;0.141210;1.529800;-3.647365
0.441507;1251790.157900;-4733524.648400;-2.507040;-0.131046;1.820000;-4.185866
0.550244;1251790.064300;-4733524.717300;-2.480066;-0.101816;2.018400;-2.821239
0.658379;1251789.978500;-4733524.784100;-2.466274;0.058761;1.973600;0.750772
0.765379;1251789.894100;-4733524.851700;-2.498092;-0.150857;1.978100;-0.074910
0.870272;1251789.808500;-4733524.915900;-2.513918;-0.162477;1.798600;2.939321
0.970955;1251789.723600;-4733524.977500;-2.519149;-0.137296;1.589700;3.006190
1.079983;1251789.641800;-4733525.036200;-2.546722;-0.001654;1.570200;0.278349
1.187049;1251789.551500;-4733525.097300;-2.488004;0.233921;1.793700;-3.202776
1.287299;1251789.466500;-4733525.162400;-2.473550;0.017576;2.091700;-4.996852
1.392776;1251789.387800;-4733525.224500;-2.555957;-0.495066;2.214600;-2.457416
1.495437;1251789.299900;-4733525.282800;-2.608189;-0.472884;2.229400;-0.293487
1.607119;1251789.211500;-4733525.335000;-2.619448;-0.292780;2.288500;-1.193560
1.718887;1251789.114700;-4733525.390700;-2.664741;-0.707576;2.290800;-0.045963
1.829326;1251789.015400;-4733525.442000;-2.722909;0.213817;2.302300;-0.228405
1.943822;1251788.914500;-4733525.486900;-2.593085;0.431578;2.309200;-0.135082
2.054508;1251788.816800;-4733525.546600;-2.679965;-0.732945;2.310500;-0.026408
2.164988;1251788.717700;-4733525.595900;-2.696162;0.079606;2.258000;1.040539
2.272275;1251788.618000;-4733525.643500;-2.680863;0.099742;2.229200;0.586425
2.380130;1251788.521900;-4733525.691200;-2.701997;-0.162715;2.169500;1.187501
2.482178;1251788.424300;-4733525.737100;-2.612601;0.945037;2.131300;0.767011
2.600316;1251788.336200;-4733525.788600;-2.588108;-0.347191;2.106400;0.500845
2.704741;1251788.235700;-4733525.850700;-2.673662;-0.043724;2.026800;1.322370
2.820898;1251788.142500;-4733525.897800;-2.635581;0.124478;2.048300;-0.429141
2.933727;1251788.040900;-4733525.954100;-2.650593;0.114300;1.979700;1.143903
3.048800;1251787.941400;-4733526.007300;-2.552867;0.302873;1.991700;-0.198824
3.165899;1251787.845700;-4733526.071200;-2.602638;-0.168548;2.011700;-0.338016
3.282657;1251787.745200;-4733526.131300;-2.605873;-0.244365;2.033500;-0.365118
3.405327;1251787.644800;-4733526.190900;-2.677580;-0.044336;2.076400;-0.699018
