#
#
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
1251790.387705459;-4733524.314427482;0.0;3.920331;-0.009741;0.0002;0.0
1251790.3166115074;-4733524.398095488;0.10322278378378379;3.920331;-0.009741;0.0002;0.0
1251790.2447875296;-4733524.479544839;0.20644556756756757;3.920331;-0.009741;0.0002;0.0
1251790.1722493942;-4733524.558827652;0.30966835135135135;3.920331;-0.009741;0.0002;0.0
1251790.099012972;-4733524.635996054;0.41289113513513515;3.920331;-0.009741;0.0002;0.0
1251790.0250941333;-4733524.7111021625;0.5161139189189189;3.920331;-0.009741;0.0002;0.0
1251789.9505087475;-4733524.784198096;0.6193367027027027;3.920331;-0.009741;0.0002;0.0
1251789.8752726852;-4733524.855335978;0.7225594864864865;3.920331;-0.009741;0.0002;0.0
1251789.7994018155;-4733524.924567929;0.8257822702702703;3.920331;-0.009741;0.0002;0.0
1251789.7229120093;-4733524.9919460695;0.9290050540540541;3.920331;-0.009741;0.0002;0.0
1251789.6458191357;-4733525.057522519;1.0322278378378378;3.920331;-0.009741;0.0002;0.0
1251789.5681390648;-4733525.121349398;1.1354506216216216;3.920331;-0.009741;0.0002;0.0
1251789.4898876676;-4733525.1834788285;1.2386734054054054;3.920331;-0.009741;0.0002;0.0
1251789.4110808128;-4733525.243962931;1.3418961891891892;3.920331;-0.009741;0.0002;0.0
1251789.331734371;-4733525.302853825;1.445118972972973;3.920331;-0.009741;0.0002;0.0
1251789.2518642119;-4733525.36020363;1.5483417567567568;3.920331;-0.009741;0.0002;0.0
1251789.171486206;-4733525.416064471;1.6515645405405406;3.920331;-0.009741;0.0002;0.0
1251789.090616223;-4733525.470488465;1.7547873243243244;3.920331;-0.009741;0.0002;0.0
1251789.0092701323;-4733525.523527735;1.8580101081081082;3.920331;-0.009741;0.0002;0.0
1251788.9274638048;-4733525.575234398;1.961232891891892;3.920331;-0.009741;0.0002;0.0
1251788.8452131094;-4733525.625660579;2.0644556756756756;3.920331;-0.009741;0.0002;0.0
1251788.7625339173;-4733525.674858394;2.1676784594594594;3.920331;-0.009741;0.0002;0.0
1251788.6794420972;-4733525.722879965;2.270901243243243;3.920331;-0.009741;0.0002;0.0
1251788.5959535204;-4733525.769777417;2.374124027027027;3.920331;-0.009741;0.0002;0.0
1251788.5120840552;-4733525.815602866;2.4773468108108108;3.920331;-0.009741;0.0002;0.0
1251788.4278495735;-4733525.860408434;2.5805695945945946;3.920331;-0.009741;0.0002;0.0
1251788.3432659442;-4733525.904246242;2.6837923783783784;3.920331;-0.009741;0.0002;0.0
1251788.2583490368;-4733525.947168408;2.787015162162162;3.920331;-0.009741;0.0002;0.0
1251788.1731147224;-4733525.989227056;2.890237945945946;3.920331;-0.009741;0.0002;0.0
1251788.0875788704;-4733526.030474305;2.9934607297297298;3.920331;-0.009741;0.0002;0.0
1251788.0017573505;-4733526.070962276;3.0966835135135136;3.920331;-0.009741;0.0002;0.0
1251787.915666033;-4733526.1107430905;3.1999062972972974;3.920331;-0.009741;0.0002;0.0
1251787.8293207882;-4733526.149868867;3.303129081081081;3.920331;-0.009741;0.0002;0.0
1251787.7427374853;-4733526.188391726;3.406351864864865;3.920331;-0.009741;0.0002;0.0
1251787.655931995;-4733526.226363793;3.5095746486486488;3.920331;-0.009741;0.0002;0.0
1251787.5689201867;-4733526.263837184;3.6127974324324326;3.920331;-0.009741;0.0002;0.0
1251787.4817179306;-4733526.300864019;3.7160202162162164;3.920331;-0.009741;0.0002;0.0
1251787.3943410972;-4733526.337496422;3.819243;3.920331;-0.009741;0.0002;0.0
1251787.3068055555;-4733526.373786511;3.922465783783784;3.920331;-0.009741;0.0002;0.0
1251787.2191271756;-4733526.409786407;4.025688567567568;3.920331;-0.009741;0.0002;0.0
